project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.VisitAttribute,6,10,72,1,1.0,4,5,0,1,2,15,1.0,1,0,0.0,6,1.0,1,0.2,12.0,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Duration,2,18,127,10,6.5,16,1,0,0,1,1,1.0,0,0,0.0,2,0.4375,11,0.0,63.5,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.DiagnosisAttribute,6,10,69,1,1.0,4,3,0,1,2,15,1.0,1,0,0.0,6,1.0,1,0.2,11.5,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PatientState,20,54,260,3,1.15,34,8,0,1,24,190,1.0,1,0,0.0,19,0.8571428571428571,6,0.058823529411764705,13.0,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.VisitAttributeType,4,6,72,1,1.0,2,10,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,18.0,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseChangeableOpenmrsData,0,0,19,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ObsReferenceRange,6,8,101,1,1.0,2,2,0,1,2,15,1.0,1,0,0.6666666666666666,6,1.0,2,0.2,16.833333333333332,8
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptSearchResult,10,13,155,4,1.4,3,6,0,0,7,45,1.0,0,0,0.0,10,1.0,4,0.0,15.5,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.OrderGroupAttributeType,4,6,55,1,1.0,2,4,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,13.75,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ServiceOrder,15,37,186,1,1.0,22,1,0,1,18,105,1.0,1,0,0.8214285714285714,12,0.7142857142857143,6,0.1076923076923077,12.4,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.User,59,109,764,8,1.576271186440678,50,111,0,1,39,1711,1.0,1,0,0.0,58,0.9473684210526315,17,0.13360323886639677,12.94915254237288,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptMapType,8,12,122,2,1.125,4,17,0,1,3,28,1.0,1,0,0.0,8,0.75,3,0.2,15.25,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptName,51,71,601,4,1.1568627450980393,20,31,0,1,23,1275,1.0,1,0,0.0,51,0.9375,15,0.0572289156626506,11.784313725490197,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ObsPostLoadEventListener,2,11,73,4,2.5,9,0,0,0,0,1,1.0,0,0,0.0,2,1.0,2,0,36.5,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptAttributeType,4,6,49,1,1.0,2,10,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,12.25,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.CareSetting,6,8,75,1,1.0,2,10,0,1,2,15,1.0,1,0,0.0,6,1.0,2,0.2,12.5,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Visit,21,29,276,2,1.0952380952380953,8,35,0,1,2,210,1.0,1,0,0.19230769230769232,21,1.0,9,0.022727272727272728,13.142857142857142,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseOpenmrsData,17,18,221,1,1.0,1,2,0,1,1,136,1.0,1,0,0.0,17,1.0,8,0.12,13.0,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.LocationTag,5,8,87,1,1.0,3,9,0,1,2,10,1.0,1,0,0.0,5,0.5,1,1.0,17.4,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Allergen,11,20,163,2,1.3636363636363635,9,6,0,0,8,55,1.0,0,0,0.0,11,1.0,4,0.05263157894736842,14.818181818181818,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Provider,16,24,183,2,1.0625,8,24,0,1,5,120,1.0,1,0,0.0,16,1.0,7,0.05,11.4375,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.AllergyProperties,10,13,73,2,1.1,3,0,0,0,9,45,1.0,0,0,0.0,9,1.0,2,0,7.3,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.AllergyReaction,12,19,165,5,1.4166666666666667,7,3,0,1,10,66,1.0,1,0,0.0,12,0.8,4,0.034482758620689655,13.75,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ImplementationId,11,16,154,3,1.2727272727272727,5,6,0,0,11,55,1.0,0,0,0.0,11,0.8,4,0.42857142857142855,14.0,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Person,81,146,1181,8,1.8641975308641976,65,68,0,1,59,3240,1.0,1,0,0.0,79,0.9230769230769231,24,0.04338394793926247,14.580246913580247,23
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.OrderSet,16,28,207,4,1.4375,12,5,0,1,9,120,1.0,1,0,0.0,15,0.8,4,0.13793103448275862,12.9375,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.LocationAttributeType,4,6,80,1,1.0,2,9,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,20.0,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.SimpleDosingInstructions,22,52,203,5,1.2727272727272727,30,2,0,1,29,231,1.0,1,0,0.0,22,1.0,9,0.043478260869565216,9.227272727272727,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.AllergyConstants,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.GlobalProperty,34,41,414,2,1.0294117647058822,7,56,0,1,6,561,1.0,1,0,0.0,34,1.0,13,0.17318435754189945,12.176470588235293,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PersonAddress,65,105,744,6,1.0923076923076922,40,16,0,1,72,2080,1.0,1,0,0.0,65,0.9642857142857143,27,0.36792452830188677,11.446153846153846,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.FreeTextDosingInstructions,6,15,70,2,1.1666666666666667,9,3,0,1,4,15,1.0,1,0,0.0,6,1.0,1,0.14285714285714285,11.666666666666666,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Encounter,57,144,974,9,1.8421052631578947,87,63,0,1,51,1596,1.0,1,0,0.0,55,0.9285714285714286,13,0.04636678200692042,17.087719298245613,13
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptDatatype,18,22,228,1,1.0,4,19,0,1,2,153,1.0,1,0,0.0,18,0.08695652173913043,22,0.2,12.666666666666666,6
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptNameTag,26,29,299,1,1.0,3,8,0,1,3,325,1.0,1,0,0.0,26,0.9166666666666666,11,0.08196721311475409,11.5,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptReferenceRange,8,10,128,1,1.0,2,9,0,1,2,28,1.0,1,0,0.6,8,1.0,3,0.09090909090909091,16.0,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseOpenmrsMetadata,21,22,268,1,1.0,1,3,0,1,1,210,1.0,1,0,0.0,21,1.0,10,0.1111111111111111,12.761904761904763,6
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Program,17,31,219,4,1.5294117647058822,14,16,0,1,14,136,1.0,1,0,0.0,17,0.8,4,0.08433734939759036,12.882352941176471,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptMap,9,12,160,2,1.2222222222222223,3,8,0,1,3,36,1.0,1,0,0.5263157894736842,9,0.75,3,0.09090909090909091,17.77777777777778,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptProposal,30,35,284,2,1.0333333333333334,5,8,0,1,5,435,1.0,1,0,0.0,30,0.9285714285714286,13,0.05813953488372093,9.466666666666667,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.DrugReferenceMap,18,20,234,1,1.0,2,5,0,1,2,153,1.0,1,0,0.0,18,0.8888888888888888,8,0.043478260869565216,13.0,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseCustomizableMetadata,6,21,144,8,3.3333333333333335,15,0,0,1,16,15,1.0,1,0,0.0,6,1.0,1,0.09090909090909091,24.0,12
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptComplex,3,6,108,2,1.3333333333333333,3,4,0,1,0,3,1.0,1,0,0.963855421686747,3,0.5,1,0,36.0,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PatientProgram,37,104,554,8,2.081081081081081,67,13,0,1,59,666,1.0,1,0,0.0,35,0.9,9,0.03938730853391685,14.972972972972974,11
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Role,22,39,332,5,1.8636363636363635,17,21,0,1,18,231,1.0,1,0,0.0,21,0.8333333333333334,5,0.1320754716981132,15.090909090909092,8
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Obs,80,181,1270,31,1.8625,101,39,0,1,170,3160,1.0,1,0,0.0,78,0.96875,31,0.030798240100565682,15.875,17
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.CohortMembership,17,33,199,5,1.3529411764705883,16,7,0,1,21,136,1.0,1,0,0.0,17,0.8333333333333334,5,0.09090909090909091,11.705882352941176,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptAttribute,6,10,46,1,1.0,4,2,0,1,2,15,1.0,1,0,0.0,6,1.0,1,0.2,7.666666666666667,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Form,18,27,234,7,1.5555555555555556,9,18,0,1,3,153,1.0,1,0,0.0,18,0.8571428571428571,6,0.058823529411764705,13.0,2
